"RDA Instructions & Elements

The name of the RDA instruction or data element, as presented in the RDA Toolkit (http://access.rdatoolkit.org/).
(T)= Transcribed element",RDA No.,BSR Notes,MARC Coding,"RDA-RDF

The rda-rdf property, as defined by the RDA registry (http://www.rdaregistry.info/)","Context

each triple needed for the mapping listed separately: 
Subject > predicate > Object

Subjects = BF Classes (distinguished by uppercase)
predicates  = BF properties (distinguished by lowercase)
Objects either BF classes or Literal

, indicates subclass/subproperty of the preceding class/property 

prefixes included for non-BIBFRAME properties/classes","LC BF 2.0

The BIBFRAME property used to encode the RDA data element",Anticipated Value,"LD4P bibliotek-o Context

if no prefix assume bf:","LD4P bibliotek-o

The bibliotek-o property used to encode the RDA data element",LD4P bibliotek-o Anticipated Value,LD4P Pattern Recommendation,TG Notes on BF 2.0,Questions
Identifying Manifestations & Items,,,,,,,,,,,,,
Title proper (T),2.3.2,,"245 $a, $n, $p",rdam:titleProper(p30156),"Instance > title > Title
Title > mainTitle > Literal
Title > partNumber > Literal
Title > partName > Literal",mainTitle; partNumber; partName,Literal,"bf:Instance > bib:hasPreferredTitle > bf:Title
bf:Title > rdfs:label > Literal
bf:Title > dcterms:hasPart > bib:MainTitleElement 
bf:Title > dcterms:hasPart > bib:NonSortElement
bf:Title > dcterms:hasPart > bib:PartNumberElement
bf:Title > dcterms:hasPart > bib:PartNameElement 
bf:Title > bib:hasSourceStatus > [bib:namedIndividual]","bib:hasPreferredTitle;
dcterms:hasPart;
bib:hasSourceStatus","Literal, Class, Named Individual",Title Pattern ,,
Parallel title proper (T),2.3.3,Record all,"245 $b, 246",rdam:parallelTitlePoper (P30203),"Instance > title > Title, VariantTitle, ParallelTitle
ParallelTitle > mainTitle > Literal",ParallelTitle,Literal,"bf:Instance > bib:hasPreferredTitle > bf:Title 
bf:Title > rdfs:label > literal
bf:Title > dcterms:hasPart > bib:MainTitleElement
bf:Title > dcterms:hasPart > bf:ParallelTitle","bib:hasPreferredTitle
dcterms:hasPart
bib:hasSourceStatus","Literal, Class, Named Individual",Title Pattern , ,
Other title information (T),2.3.4,,245 $b ,rdam:otherTitleInformation(P30142),"Instance > title > Title
Title > subtitle > Literal
or
Work > title > Title
Title > subtitle > Literal",subtitle,Literal,"bf:Instance > bib:hasPreferredTitle > bf:Title 
bf:Title > rdfs:label > literal
bf:Title > dcterms:hasPart > bib:MainTitleElement
bf:Title > dcterms:hasPart > bib:SubTitleElement","bib:hasPreferredTitle
dcterms:hasPart
bib:hasSourceStatus","Literal, Class, Named Individual",Title Pattern ,,
Variant title (T),2.3.6,"PCC recommends additional variant titles that are deemed important to identification or access, according to cataloger judgment and/or local policy.

PCC Core for rare materials; record variant titles that are required by the appropriate DCRM module.",246,rdam:variantTitle (P30128),"Instance > title > Title, VariantTitle 
VariantTitle > mainTitle > Literal",VariantTitle,Literal,"bf:Instance > bf:title > bf:Title
bf:Title > rdfs:label > Literal
bf:Title > dcterms:hasPart > bib:MainTitleElement
bf:Title > bib:hasSourceStatus > bib:transcribed
bf:Title > rdfs:comment > Literal 
bib:MainTitleElement > rdfs:label > Literal
bib:MainTitleElement > bib:hasSource > [500 note]","bf:title
rdfs:label
dcterms:hasPart
bib:hasSourceStatus
rdfs:comment
bib:hasSource","Literal, Class, Named Individual",Title Pattern ,"There are 4 subclasses under VariantTitle: KeyTitle, AbbreviatedTitle, ParallelTitle,
CollectiveTitle; and a property variantType to define the types of variation: acronym, cover, spine, earlier, later, series version",
Later title proper (T),2.3.8,,246,rdam:laterTitleProper(P30129),"Instance > title > Title, VariantTitle
VariantTitle > mainTitle > Literal
VariantTitle > variantType > Literal","VariantTitle with variantType property ""Later title proper""",Literal,"bf:Instance > bf:title > bf:Title
bf:Title > rdfs:label > Literal
bf:Title > dcterms:hasPart > bib:MainTitleElement
bf:Title > bib:hasSourceStatus > bib:transcribed
bf:Title > rdfs:comment > Literal 
bib:MainTitleElement > rdfs:label > Literal
bib:MainTitleElement > bib:hasSource > [500 note]","bf:title
rdfs:label
dcterms:hasPart
bib:hasSourceStatus
rdfs:comment
bib:hasSource","Literal, Class, Named Individual",Title Pattern ,"The variantTitle property can be used for the following: ""Type of title variation, e.g., acronym, cover, spine, earlier, later, series version""",
Statement of responsibility relating to title proper (T),2.4.2,"If more than one, only the first recorded is required by RDA, but catalogers are encouraged to transcribe (or record in a note) any other statements of responsibility that aid in resource discovery, identification, and selection.
Rare materials: Generally transcribe all statements of responsibility relating to title proper found in the preferred source of information.
Rare atlases, rare books, and rare music: If a title and statement of responsibility as recorded have been transposed from their presentation in the source, see also 2.17.3.",245 $c,rdam:statmentOfResponsibilityRelatingtoTitleProper (P30105),Instance > responsibilityStatement > Literal,responsibilityStatement,Literal,Instance > responsibilityStatement > Literal,responsibilityStatement,Literal,,,
Designation of edition (T),2.5.2,Rare music: Transcribe as an edition statement the music presentation statement as defined by DCRM(M) 3B.,250,rdam:designationOfEdition(P30133),Instance > editionEnumeration > Literal ,editionEnumeration,Literal,Instance > editionEnumeration > Literal ,editionEnumeration,Literal,,Bf 2.0 also has propery edition which speficially refers to Classification,
Statement of responsibility relating to the edition (T),2.5.4,PCC Core for rare materials.,250,rdam:statementOfResponsibilityRelatingToTheEdition (P30121),Instance > editionStatement > Literal,editionStatement;,Literal,Instance > editionStatement > Literal,editionStatement;,Literal,,editionStatement combines the RDA elements of designation of edition and the statement of responsibility relating to the edition,
Designation of a named revision of an edition (T),2.5.6,,250,rdam:designationOfANamedRevisionOfAnEdition(P30133) ,Instance > editionEnumeration > Literal ,editionEnumeration,Literal,Instance > editionEnumeration > Literal ,editionEnumeration,Literal,,"Assumes that it is acceptable to include in editionEnumeration phrases such as reprinted with corrections, augmented, etc.","Based on RDA 2.5.6, Designation of named revision of an edition is beyond just enumeration, should we use editionStatement instead?"
