rdf:type,BIBFRAME term
owl:Class,bf:AccessPolicy
owl:ObjectProperty,bf:accompaniedBy
owl:ObjectProperty,bf:accompanies
owl:Class,bf:AdminMetadata
owl:ObjectProperty,bf:adminMetadata
owl:Class,bf:Ansi
owl:Class,bf:AppliedMaterial
owl:ObjectProperty,bf:appliedMaterial
owl:Class,bf:Archival
owl:Class,bf:Arrangement
owl:ObjectProperty,bf:arrangement
owl:DatatypeProperty,bf:ascensionAndDeclination
owl:Class,bf:AspectRatio
owl:ObjectProperty,bf:aspectRatio
owl:ObjectProperty,bf:assigner
owl:Class,bf:Audio
owl:Class,bf:AudioIssueNumber
owl:Class,bf:AudioTake
owl:DatatypeProperty,bf:awards
owl:Class,bf:Barcode
owl:Class,bf:BaseMaterial
owl:ObjectProperty,bf:baseMaterial
owl:Class,bf:BookFormat
owl:ObjectProperty,bf:bookFormat
owl:Class,bf:BroadcastStandard
owl:Class,bf:Cartographic
owl:ObjectProperty,bf:cartographicAttributes
owl:Class,bf:CartographicDataType
owl:Class,bf:CartographicObjectType
owl:Class,bf:Cartography
owl:DatatypeProperty,bf:changeDate
owl:Class,bf:Chronology
owl:Class,bf:Classification
owl:ObjectProperty,bf:classification
owl:Class,bf:ClassificationDdc
owl:Class,bf:ClassificationLcc
owl:Class,bf:ClassificationNlm
owl:DatatypeProperty,bf:classificationPortion
owl:Class,bf:ClassificationUdc
owl:DatatypeProperty,bf:code
owl:Class,bf:Coden
owl:Class,bf:Collection
owl:Class,bf:ColorContent
owl:ObjectProperty,bf:colorContent
owl:Class,bf:ContentAccessibility
owl:ObjectProperty,bf:contentAccessibility
owl:DatatypeProperty,bf:coordinates
owl:Class,bf:CopyrightNumber
owl:Class,bf:CopyrightRegistration
owl:ObjectProperty,bf:copyrightRegistration
owl:DatatypeProperty,bf:count
owl:DatatypeProperty,bf:creationDate
owl:Class,bf:Dataset
owl:ObjectProperty,bf:dataSource
owl:DatatypeProperty,bf:degree
owl:DatatypeProperty,bf:derivedFrom
owl:Class,bf:DescriptionAuthentication
owl:ObjectProperty,bf:descriptionAuthentication
owl:Class,bf:DescriptionConventions
owl:ObjectProperty,bf:descriptionConventions
owl:ObjectProperty,bf:descriptionLanguage
owl:ObjectProperty,bf:descriptionModifier
owl:Class,bf:DigitalCharacteristic
owl:ObjectProperty,bf:digitalCharacteristic
owl:DatatypeProperty,bf:dimensions
owl:Class,bf:Dissertation
owl:ObjectProperty,bf:dissertation
owl:Class,bf:DissertationIdentifier
owl:Class,bf:Doi
owl:DatatypeProperty,bf:duration
owl:Class,bf:Ean
owl:DatatypeProperty,bf:edition
owl:DatatypeProperty,bf:editionEnumeration
owl:DatatypeProperty,bf:editionStatement
owl:Class,bf:Electronic
owl:ObjectProperty,bf:electronicLocator
owl:Class,bf:Emulsion
owl:ObjectProperty,bf:emulsion
owl:Class,bf:EncodedBitrate
owl:Class,bf:EncodingFormat
owl:ObjectProperty,bf:ensemble
owl:DatatypeProperty,bf:ensembleType
owl:Class,bf:Enumeration
owl:Class,bf:EnumerationAndChronology
owl:ObjectProperty,bf:enumerationAndChronology
owl:DatatypeProperty,bf:equinox
owl:DatatypeProperty,bf:exclusionGRing
owl:ObjectProperty,bf:expressionOf
owl:Class,bf:Extent
owl:ObjectProperty,bf:extent
owl:Class,bf:Family
owl:Class,bf:FileSize
owl:Class,bf:FileType
owl:ObjectProperty,bf:findingAid
owl:ObjectProperty,bf:findingAidOf
owl:Class,bf:Fingerprint
owl:DatatypeProperty,bf:firstIssue
owl:Class,bf:FontSize
owl:ObjectProperty,bf:fontSize
owl:Class,bf:Frequency
owl:ObjectProperty,bf:frequency
owl:Class,bf:Generation
owl:ObjectProperty,bf:generation
owl:DatatypeProperty,bf:generationDate
owl:Class,bf:GenerationProcess
owl:ObjectProperty,bf:generationProcess
owl:Class,bf:GenreForm
owl:ObjectProperty,bf:genreForm
owl:Class,bf:GrooveCharacteristic
owl:Class,bf:Gtin14Number
owl:ObjectProperty,bf:hasExpression
owl:ObjectProperty,bf:hasInstance
owl:ObjectProperty,bf:hasItem
owl:ObjectProperty,bf:hasSeries
owl:ObjectProperty,bf:hasSubseries
owl:Class,bf:Hdl
owl:DatatypeProperty,bf:hierarchicalLevel
owl:ObjectProperty,bf:identifiedBy
owl:Class,bf:Identifier
owl:ObjectProperty,bf:identifies
owl:Class,bf:Illustration
owl:ObjectProperty,bf:illustrativeContent
owl:ObjectProperty,bf:index
owl:ObjectProperty,bf:indexOf
owl:Class,bf:Instance
owl:ObjectProperty,bf:instanceOf
owl:ObjectProperty,bf:instrument
owl:DatatypeProperty,bf:instrumentalType
owl:Class,bf:IntendedAudience
owl:ObjectProperty,bf:intendedAudience
owl:Class,bf:Isan
owl:Class,bf:Isbn
owl:Class,bf:Ismn
owl:Class,bf:Isni
owl:Class,bf:Iso
owl:Class,bf:Isrc
owl:Class,bf:Issn
owl:Class,bf:IssnL
owl:Class,bf:Issuance
owl:ObjectProperty,bf:issuance
owl:SymmetricProperty,bf:issuedWith
owl:Class,bf:Istc
owl:Class,bf:Iswc
owl:Class,bf:Item
owl:ObjectProperty,bf:itemOf
owl:DatatypeProperty,bf:itemPortion
owl:Class,bf:Jurisdiction
owl:DatatypeProperty,bf:lastIssue
owl:Class,bf:Layout
owl:ObjectProperty,bf:layout
owl:Class,bf:Lccn
owl:Class,bf:LcOverseasAcq
owl:Class,bf:Local
owl:Class,bf:Manuscript
owl:Class,bf:MatrixNumber
owl:Class,bf:MixedMaterial
owl:Class,bf:Mount
owl:ObjectProperty,bf:mount
owl:Class,bf:MovementNotation
owl:Class,bf:MovingImage
owl:Class,bf:MusicDistributorNumber
owl:Class,bf:MusicEnsemble
owl:Class,bf:MusicFormat
owl:ObjectProperty,bf:musicFormat
owl:Class,bf:MusicInstrument
owl:DatatypeProperty,bf:musicKey
owl:Class,bf:MusicMedium
owl:ObjectProperty,bf:musicMedium
owl:Class,bf:MusicNotation
owl:DatatypeProperty,bf:musicOpusNumber
owl:Class,bf:MusicPlate
owl:Class,bf:MusicPublisherNumber
owl:DatatypeProperty,bf:musicSerialNumber
owl:DatatypeProperty,bf:musicThematicNumber
owl:Class,bf:MusicVoice
owl:Class,bf:Nbn
owl:Class,bf:NotatedMovement
owl:Class,bf:NotatedMusic
owl:Class,bf:Notation
owl:ObjectProperty,bf:notation
owl:Class,bf:Object
owl:Class,bf:ObjectCount
owl:DatatypeProperty,bf:organization
owl:SymmetricProperty,bf:otherEdition
owl:DatatypeProperty,bf:outerGRing
owl:DatatypeProperty,bf:pattern
owl:Class,bf:PlaybackChannels
owl:Class,bf:PlaybackCharacteristic
owl:Class,bf:PlayingSpeed
owl:Class,bf:Polarity
owl:ObjectProperty,bf:polarity
owl:Class,bf:PostalRegistration
owl:Class,bf:PresentationFormat
owl:Class,bf:Print
owl:Class,bf:ProductionMethod
owl:ObjectProperty,bf:productionMethod
owl:Class,bf:Projection
owl:ObjectProperty,bf:projection
owl:Class,bf:ProjectionCharacteristic
owl:ObjectProperty,bf:projectionCharacteristic
owl:Class,bf:ProjectionSpeed
owl:Class,bf:PublisherNumber
owl:Class,bf:RecordingMedium
owl:Class,bf:RecordingMethod
owl:Class,bf:ReductionRatio
owl:ObjectProperty,bf:reductionRatio
owl:ObjectProperty,bf:referencedBy
owl:ObjectProperty,bf:references
owl:Class,bf:RegionalEncoding
owl:SymmetricProperty,bf:relatedTo
owl:Class,bf:ReportNumber
owl:Class,bf:Resolution
owl:DatatypeProperty,bf:responsibilityStatement
owl:Class,bf:RetentionPolicy
owl:Class,bf:Scale
owl:ObjectProperty,bf:scale
owl:DatatypeProperty,bf:schedulePart
owl:Class,bf:Script
owl:DatatypeProperty,bf:seriesEnumeration
owl:ObjectProperty,bf:seriesOf
owl:DatatypeProperty,bf:seriesStatement
owl:Class,bf:ShelfMark
owl:Class,bf:ShelfMarkDdc
owl:Class,bf:ShelfMarkLcc
owl:Class,bf:ShelfMarkNlm
owl:Class,bf:ShelfMarkUdc
owl:Class,bf:Sici
owl:Class,bf:SoundCharacteristic
owl:ObjectProperty,bf:soundCharacteristic
owl:Class,bf:SoundContent
owl:ObjectProperty,bf:soundContent
owl:DatatypeProperty,bf:spanEnd
owl:Class,bf:Status
owl:ObjectProperty,bf:status
owl:Class,bf:StillImage
owl:Class,bf:StockNumber
owl:Class,bf:Strn
owl:Class,bf:StudyNumber
owl:Class,bf:Sublocation
owl:ObjectProperty,bf:sublocation
owl:DatatypeProperty,bf:subseriesEnumeration
owl:ObjectProperty,bf:subseriesOf
owl:DatatypeProperty,bf:subseriesStatement
owl:ObjectProperty,bf:supplement
owl:Class,bf:SupplementaryContent
owl:ObjectProperty,bf:supplementaryContent
owl:ObjectProperty,bf:supplementTo
owl:Class,bf:SystemRequirement
owl:ObjectProperty,bf:systemRequirement
owl:DatatypeProperty,bf:table
owl:DatatypeProperty,bf:tableSeq
owl:Class,bf:TactileNotation
owl:Class,bf:TapeConfig
owl:Class,bf:Temporal
owl:Class,bf:Text
owl:Class,bf:Title
owl:ObjectProperty,bf:title
owl:Class,bf:TrackConfig
owl:Class,bf:Unit
owl:ObjectProperty,bf:unit
owl:Class,bf:Upc
owl:Class,bf:Urn
owl:Class,bf:UsageAndAccessPolicy
owl:ObjectProperty,bf:usageAndAccessPolicy
owl:Class,bf:UsePolicy
owl:Class,bf:VideoCharacteristic
owl:ObjectProperty,bf:videoCharacteristic
owl:Class,bf:VideoFormat
owl:Class,bf:VideoRecordingNumber
owl:ObjectProperty,bf:voice
owl:DatatypeProperty,bf:voiceType
owl:Class,bf:Work
